date,temperature,humidity,pressure,rainfall,weather
08-02-2026,22.9,48,1014.9,0.0,Cloudy
09-02-2026,22.8,49,1015.0,0.0,Cloudy
10-02-2026,22.1,50,1016.0,0.0,Cloudy
11-02-2026,20.6,47,1017.0,0.0,Cloudy
12-02-2026,21.4,57,1015.9,0.0,Cloudy
13-02-2026,23.3,48,1014.6,0.0,Cloudy
14-02-2026,22.9,53,1014.5,0.0,Cloudy
15-02-2026,23.8,41,1014.1,0.0,Cloudy
16-02-2026,23.1,42,1013.1,0.0,Cloudy
17-02-2026,22.8,38,1013.5,0.0,Cloudy
18-02-2026,22.6,50,1013.4,0.0,Cloudy
19-02-2026,23.7,53,1014.1,0.0,Cloudy
20-02-2026,24.1,56,1014.1,0.0,Cloudy
21-02-2026,24.4,57,1011.8,0.1,Rainy
22-02-2026,25.0,55,1009.9,0.0,Cloudy
23-02-2026,25.3,49,1010.0,0.0,Cloudy
24-02-2026,25.2,50,1011.5,0.0,Cloudy
25-02-2026,24.8,51,1013.2,0.1,Rainy
26-02-2026,25.8,44,1011.6,0.1,Rainy
27-02-2026,25.9,45,1010.0,0.0,Cloudy
28-02-2026,25.6,45,1010.2,0.0,Cloudy
01-03-2026,25.7,45,1011.4,0.0,Cloudy
02-03-2026,26.3,41,1012.4,0.0,Cloudy
03-03-2026,26.0,38,1013.2,0.0,Sunny
04-03-2026,26.0,39,1013.4,0.0,Sunny
05-03-2026,26.4,34,1012.0,0.0,Sunny
06-03-2026,27.1,34,1011.1,0.0,Cloudy
07-03-2026,26.6,47,1011.9,0.0,Cloudy
08-03-2026,26.7,41,1012.0,0.0,Sunny
09-03-2026,25.0,56,1013.1,0.0,Cloudy
10-03-2026,24.0,54,1014.7,0.0,Cloudy
11-03-2026,25.2,50,1013.8,0.0,Cloudy
12-03-2026,26.5,41,1011.6,0.0,Sunny
13-03-2026,26.8,40,1011.2,0.0,Cloudy
14-03-2026,26.4,41,1012.9,0.0,Cloudy
15-03-2026,26.4,42,1012.7,0.0,Sunny
16-03-2026,27.0,42,1011.6,0.2,Rainy
17-03-2026,25.5,52,1011.7,2.3,Rainy
18-03-2026,24.1,58,1013.0,0.5,Rainy
19-03-2026,24.4,56,1012.9,0.0,Cloudy
20-03-2026,24.9,58,1011.9,0.0,Sunny
21-03-2026,25.9,57,1012.2,0.6,Rainy
22-03-2026,26.2,56,1012.8,1.3,Rainy
23-03-2026,26.5,51,1012.3,0.0,Cloudy
24-03-2026,26.6,51,1011.7,0.0,Cloudy
25-03-2026,27.0,48,1011.8,0.0,Sunny
26-03-2026,27.2,43,1012.5,0.0,Sunny
27-03-2026,28.2,35,1011.1,0.0,Sunny
28-03-2026,28.0,42,1010.1,0.0,Cloudy
29-03-2026,27.1,50,1010.3,0.8,Rainy
30-03-2026,27.1,46,1010.7,0.1,Rainy
31-03-2026,27.3,46,1011.2,0.0,Cloudy
01-04-2026,27.0,46,1011.4,0.0,Cloudy
02-04-2026,26.8,45,1012.3,0.0,Cloudy
03-04-2026,28.3,42,1011.7,0.0,Cloudy
04-04-2026,27.2,54,1011.3,0.3,Rainy
05-04-2026,27.7,48,1011.0,0.3,Rainy
06-04-2026,28.2,41,1011.9,0.0,Cloudy
07-04-2026,28.1,34,1011.5,0.0,Sunny
08-04-2026,28.6,39,1011.0,0.0,Cloudy
09-04-2026,28.6,46,1012.1,0.1,Rainy
10-04-2026,28.3,55,1012.7,0.7,Rainy
11-04-2026,29.1,48,1011.6,0.0,Sunny
12-04-2026,29.1,44,1010.5,0.0,Sunny
13-04-2026,29.2,43,1011.3,0.0,Cloudy
14-04-2026,29.4,35,1010.8,0.0,Cloudy
15-04-2026,29.3,41,1009.3,0.0,Sunny
16-04-2026,29.1,45,1009.6,0.0,Cloudy
17-04-2026,29.7,39,1010.2,0.0,Cloudy
18-04-2026,29.7,38,1009.9,0.0,Cloudy
19-04-2026,29.5,38,1010.0,0.0,Sunny
20-04-2026,29.3,43,1009.5,0.0,Cloudy
21-04-2026,29.0,41,1009.5,0.0,Cloudy
22-04-2026,29.5,36,1009.0,0.0,Sunny
23-04-2026,29.8,35,1008.5,0.0,Cloudy
24-04-2026,29.5,36,1009.1,0.0,Cloudy
25-04-2026,29.4,39,1010.2,0.0,Cloudy
26-04-2026,29.8,38,1009.5,0.0,Cloudy
27-04-2026,30.2,40,1008.2,0.0,Cloudy
28-04-2026,30.1,44,1008.4,0.0,Cloudy
29-04-2026,29.0,48,1009.3,0.1,Rainy
30-04-2026,26.7,65,1010.7,3.0,Rainy
01-05-2026,25.9,68,1010.5,0.0,Cloudy
02-05-2026,27.2,63,1009.1,0.0,Cloudy
03-05-2026,27.2,58,1009.4,0.0,Cloudy
04-05-2026,27.2,56,1009.7,0.0,Cloudy
05-05-2026,27.0,54,1010.1,0.0,Cloudy
06-05-2026,26.6,62,1009.0,0.7,Rainy
07-05-2026,26.7,63,1009.2,1.0,Rainy
08-05-2026,26.6,64,1009.5,1.4,Rainy
09-05-2026,25.2,72,1010.0,6.6,Rainy
10-05-2026,26.7,60,1008.8,0.0,Cloudy
11-05-2026,27.8,49,1008.7,0.0,Cloudy
12-05-2026,28.3,48,1007.5,0.3,Rainy
13-05-2026,28.8,46,1006.2,0.5,Rainy
14-05-2026,29.0,49,1005.8,0.1,Rainy
15-05-2026,27.8,55,1006.4,1.0,Rainy
16-05-2026,27.1,63,1006.9,3.4,Rainy
17-05-2026,28.2,55,1007.0,0.0,Cloudy
18-05-2026,25.0,81,1008.5,31.8,Rainy
19-05-2026,24.6,80,1009.5,2.1,Rainy
20-05-2026,25.1,78,1009.4,5.7,Rainy
21-05-2026,26.4,72,1009.4,0.4,Rainy
22-05-2026,25.2,74,1011.8,0.9,Rainy
23-05-2026,23.6,86,1012.8,7.0,Rainy
24-05-2026,24.7,77,1012.1,3.9,Rainy
25-05-2026,25.6,75,1011.4,6.1,Rainy
26-05-2026,24.9,79,1011.8,12.2,Rainy
27-05-2026,25.1,76,1012.1,1.8,Rainy
28-05-2026,25.4,76,1012.2,0.5,Rainy
29-05-2026,25.6,74,1011.4,1.1,Rainy
30-05-2026,24.9,75,1011.3,2.1,Rainy
31-05-2026,25.3,74,1011.6,2.3,Rainy
01-06-2026,25.7,66,1011.6,0.5,Rainy
02-06-2026,25.7,72,1010.7,4.4,Rainy
03-06-2026,23.5,83,1010.0,9.4,Rainy
04-06-2026,24.5,75,1009.3,1.2,Rainy
05-06-2026,23.7,78,1009.5,2.7,Rainy
06-06-2026,23.9,76,1010.4,1.3,Rainy
07-06-2026,24.0,79,1010.9,2.8,Rainy
08-06-2026,24.2,76,1011.0,3.7,Rainy
09-06-2026,23.8,76,1010.7,1.1,Rainy
10-06-2026,24.1,75,1010.7,2.6,Rainy
11-06-2026,24.1,78,1010.3,1.2,Rainy
12-06-2026,23.2,82,1011.7,10.6,Rainy
13-06-2026,23.5,83,1012.0,8.0,Rainy
14-06-2026,23.6,79,1011.2,4.8,Rainy
15-06-2026,25.1,66,1010.4,0.0,Cloudy
16-06-2026,25.7,66,1010.4,0.4,Rainy
17-06-2026,25.5,71,1010.7,1.7,Rainy
18-06-2026,23.7,78,1011.3,6.0,Rainy
19-06-2026,24.0,77,1011.4,3.4,Rainy
20-06-2026,24.0,79,1011.7,2.6,Rainy
21-06-2026,24.4,76,1011.1,1.7,Rainy
22-06-2026,23.8,80,1011.5,2.5,Rainy
23-06-2026,24.2,68,1010.9,0.3,Rainy
24-06-2026,23.9,72,1010.5,1.6,Rainy
25-06-2026,24.1,75,1010.3,3.9,Rainy
26-06-2026,24.4,73,1010.2,3.9,Rainy
27-06-2026,24.7,73,1009.3,5.3,Rainy
28-06-2026,23.5,80,1009.1,3.2,Rainy
29-06-2026,22.9,82,1010.1,8.5,Rainy
30-06-2026,23.7,74,1010.4,1.3,Rainy
